"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"21-Aug-2018","    11576.20","    11581.75","    11539.60","    11570.90","      231063669","        13528.83"
"23-Aug-2018","    11620.70","    11620.70","    11546.70","    11582.75","      256163842","        16117.77"
"24-Aug-2018","    11566.60","    11604.60","    11532.00","    11557.10","      225604574","        13019.55"
"27-Aug-2018","    11605.85","    11700.95","    11595.60","    11691.95","      205689327","        11707.50"
"28-Aug-2018","    11731.95","    11760.20","    11710.50","    11738.50","      249420312","        13946.70"
"29-Aug-2018","    11744.95","    11753.20","    11678.85","    11691.90","      259351550","        14324.65"
"30-Aug-2018","    11694.75","    11698.80","    11639.70","    11676.80","      323450305","        18275.54"
"31-Aug-2018","    11675.85","    11727.65","    11640.10","    11680.50","      357230312","        20755.73"
"03-Sep-2018","    11751.80","    11751.80","    11567.40","    11582.35","      241726864","        16139.58"
"04-Sep-2018","    11598.75","    11602.55","    11496.85","    11520.30","      262701030","        16254.78"
"05-Sep-2018","    11514.85","    11542.65","    11393.85","    11476.95","      253689858","        15078.23"
"06-Sep-2018","    11514.15","    11562.25","    11436.05","    11536.90","      255558129","        15161.00"
"07-Sep-2018","    11558.25","    11603.00","    11484.40","    11589.10","      305029077","        16441.02"
"10-Sep-2018","    11570.25","    11573.00","    11427.30","    11438.10","      295597988","        16513.89"
"11-Sep-2018","    11476.85","    11479.40","    11274.00","    11287.50","      318093125","        18745.54"
"12-Sep-2018","    11340.10","    11380.75","    11250.20","    11369.90","      276509748","        15567.90"
"14-Sep-2018","    11443.50","    11523.25","    11430.55","    11515.20","      285218296","        16423.36"
"17-Sep-2018","    11464.95","    11464.95","    11366.90","    11377.75","      207620518","        11294.84"
"18-Sep-2018","    11381.55","    11411.45","    11268.95","    11278.90","      248298794","        13814.11"
"19-Sep-2018","    11326.65","    11332.05","    11210.90","    11234.35","      258424384","        15116.69"
"21-Sep-2018","    11271.30","    11346.80","    10866.45","    11143.10","      741153209","        35131.19"
"24-Sep-2018","    11164.40","    11170.15","    10943.60","    10967.40","      398815949","        23023.34"
